experiment_name,dataset_name,model_name,scenario_name,run_id,best_val_macro_f1,best_val_accuracy,best_val_loss,best_epoch,mode,target,alpha,beta,mix_lambda,start_epoch,mean_epoch_time,mean_throughput,exp_dir
runs_fractional_focused_final,small_D2_L64,T_base_mean,all_mix_a08_lam015,2,0.2888828382911794,0.3350000083446502,1.8784930248260496,8,mix,all,0.8,0.9,0.015,1.0,1.2443568229675293,4420.976722064992,/home/user/fractional_unlearning/runs_fractional_focused_final/small_D2_L64/T_base_mean/all_mix_a08_lam015/run_2
runs_fractional_hypothesis_v2,small_D2_L64,T_base_mean,all_mix_a08_lam025,1,0.2887508206137218,0.3540000021457672,1.842316710472107,9,mix,all,0.8,0.9,0.25,1.0,1.242684245109558,4441.754776004059,/home/user/fractional_unlearning/runs_fractional_hypothesis_v2/small_D2_L64/T_base_mean/all_mix_a08_lam025/run_1
runs_fractional_focused_final,small_D2_L64,T_wide_mean,delayed_head_mix_a08_lam015_warm3,2,0.2887364497271154,0.3630000054836273,1.808827663421631,10,mix,head,0.8,0.9,0.015,4.0,1.3357499837875366,3765.5035383751856,/home/user/fractional_unlearning/runs_fractional_focused_final/small_D2_L64/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_2
runs_fractional_scenarios,small_D2_L64,T_base_mean,attention_only_replace_a08,2,0.2885052453106262,0.3440000116825104,1.8588823795318603,9,replace,attention,0.8,0.9,1.0,1.0,14.920492434501648,268.1932842047586,/home/user/fractional_unlearning/runs_fractional_scenarios/small_D2_L64/T_base_mean/attention_only_replace_a08/run_2
runs_fractional_focused_final,small_D2_L64,T_wide_mean,all_mix_a08_lam015,0,0.2880922984627462,0.3610000014305115,1.8183529272079468,10,mix,all,0.8,0.9,0.015,1.0,1.046325635910034,6337.8172403647,/home/user/fractional_unlearning/runs_fractional_focused_final/small_D2_L64/T_wide_mean/all_mix_a08_lam015/run_0
runs_transformer_fractional,small_D2_L64,T_base_mean,adamw,1,0.2880154173709499,0.3650000095367431,1.803523467063904,9,,,,,,,30.061808943748478,133.55155124993743,/home/user/fractional_unlearning/runs_transformer_fractional/small_D2_L64/T_base_mean/adamw/run_1
runs_fractional_hypothesis_v2,small_D2_L64,T_deep_mean,all_mix_a08_lam015,0,0.2878911583222089,0.3569999933242798,1.8098868350982664,9,mix,all,0.8,0.9,0.15,1.0,1.8383971214294437,2512.299638200562,/home/user/fractional_unlearning/runs_fractional_hypothesis_v2/small_D2_L64/T_deep_mean/all_mix_a08_lam015/run_0
runs_fractional_hypothesis_v2,small_D2_L64,T_deep_mean,baseline_adamw,0,0.2876951608426724,0.3549999892711639,1.8259487218856807,10,none,none,,,0.0,,1.357164478302002,5094.487791784214,/home/user/fractional_unlearning/runs_fractional_hypothesis_v2/small_D2_L64/T_deep_mean/baseline_adamw/run_0
runs_fractional_scenarios,small_D2_L64,T_deep_mean,head_only_replace_a08,0,0.2875616729283446,0.3510000109672546,1.867330153465271,8,replace,head,0.8,0.9,1.0,1.0,1.7685813188552857,2701.892633488079,/home/user/fractional_unlearning/runs_fractional_scenarios/small_D2_L64/T_deep_mean/head_only_replace_a08/run_0
runs_transformer_fractional,small_D2_L64,T_deep_mean,adamw,1,0.2872911637590937,0.3589999973773956,1.8133178796768188,8,,,,,,,47.85035548210144,83.60102812040275,/home/user/fractional_unlearning/runs_transformer_fractional/small_D2_L64/T_deep_mean/adamw/run_1
