scenario_name,mode,target,alpha,beta,mix_lambda,start_epoch,best_val_macro_f1_count,best_val_macro_f1_mean,best_val_macro_f1_std,best_val_macro_f1_min,best_val_macro_f1_max,best_val_accuracy_count,best_val_accuracy_mean,best_val_accuracy_std,best_val_accuracy_min,best_val_accuracy_max,best_val_loss_count,best_val_loss_mean,best_val_loss_std,best_val_loss_min,best_val_loss_max,final_val_macro_f1_count,final_val_macro_f1_mean,final_val_macro_f1_std,final_val_macro_f1_min,final_val_macro_f1_max,final_val_accuracy_count,final_val_accuracy_mean,final_val_accuracy_std,final_val_accuracy_min,final_val_accuracy_max,final_val_loss_count,final_val_loss_mean,final_val_loss_std,final_val_loss_min,final_val_loss_max,mean_epoch_time_count,mean_epoch_time_mean,mean_epoch_time_std,mean_epoch_time_min,mean_epoch_time_max,mean_throughput_count,mean_throughput_mean,mean_throughput_std,mean_throughput_min,mean_throughput_max
emb_replace_a07,replace,embeddings,0.7,0.9,1.0,1.0,45,0.1632145605493714,0.07710897793701511,0.0786043250541202,0.2963931938990752,45,0.31998518308003737,0.026403054244532376,0.2619999945163727,0.3689999878406524,45,1.9451570372263591,0.06229259729594057,1.8150675296783447,2.043256143569946,45,0.15600893681882916,0.0780132826006148,0.0590250047718169,0.2819536486401993,45,0.31928703586260476,0.026950451731891232,0.2619999945163727,0.3580000102519989,45,1.9429105112075806,0.0630645968534383,1.829426034927368,2.042428705215454,45,2.7667830255296497,1.4706538371043574,0.9956192255020142,6.064731907844544,45,3755.673121460124,1757.394325589315,1625.493576117536,10516.476207357407
mixed_all_a08_lam025,mix,all,0.8,0.9,0.25,1.0,45,0.16299120003578013,0.07509523730346726,0.0740256740110295,0.286462598766296,45,0.319581483470069,0.025006884520163017,0.2739999890327453,0.367000013589859,45,1.94237745674981,0.06604471693649325,1.788736954689026,2.0378636627197264,45,0.15373281326236465,0.0770183778988127,0.0581094972159661,0.2825906261913151,45,0.32084629734357195,0.02641507753076931,0.2739999890327453,0.3659999966621399,45,1.9388588874816897,0.06990258268577597,1.8026694965362549,2.0509869747161864,45,5.175017211702135,4.433698184718967,1.2214065790176392,17.20004026889801,45,2560.0852755527544,1588.4730183026634,239.71952115437617,7012.454654381196
all_mix_a08_lam015,mix,all,0.8,0.9,0.15,1.0,45,0.16292269726779396,0.07670799515716932,0.0429524931291378,0.2921018524221181,45,0.31983703573544814,0.02338597347249412,0.273499995470047,0.363999992609024,43,1.9448543114994847,0.05537854926833752,1.7997034358978272,2.0199525527954103,45,0.1546841368290518,0.07933057131493965,0.0429524931291378,0.2847285979662085,45,0.3207648144827948,0.023397944025366442,0.273499995470047,0.363999992609024,43,1.9398254937460258,0.05882136505705876,1.7997034358978272,2.025872037887573,45,2.891904061635335,1.526240063248921,0.9526827812194824,6.327823901176453,45,3525.621585546502,1475.4628507368134,1560.227577532498,7972.526904795844
delayed_emb_mix_a08_lam025_warm3,mix,embeddings,0.8,0.9,0.025,4.0,75,0.16273585058771875,0.07372049980627014,0.0779524137309002,0.2806766618731984,75,0.32036666750907894,0.02208154396160661,0.2739999890327453,0.3549999892711639,75,1.9478005497868855,0.053344289275826226,1.8074269714355469,2.0415203952789307,75,0.15510635725486083,0.07543032716841976,0.05995642538238,0.2806766618731984,75,0.3203922212123871,0.02244380626654242,0.2745000123977661,0.3549999892711639,75,1.9439335366694135,0.05511964020055625,1.8074269714355469,2.040658950805664,75,2.4469496256510417,1.1264653343589484,0.76194167137146,4.789481449127197,75,4091.0908839831104,1718.1277541009142,1897.1647768322664,10542.088964274257
delayed_mixed_all_a08_lam025_warm3,mix,all,0.8,0.9,0.25,4.0,45,0.162681811013651,0.07517812930904196,0.0716769691779478,0.2862610416742217,45,0.3193574077553219,0.023293124397289852,0.2750000059604645,0.3519999980926513,45,1.9453970626407202,0.058319363723194156,1.8349466342926024,2.0306422729492186,45,0.15309591795521924,0.07507875581351685,0.052443897940324,0.2693137768417382,45,0.3174203713734945,0.024364217150462403,0.2705000042915344,0.3554166555404663,44,1.9444616591713646,0.06656395650621152,1.818206247329712,2.0711728439331054,45,4.127160335646735,3.319317900597092,1.1397722244262696,15.043528604507449,45,2836.9802928060617,1410.00079667559,266.8618622195061,5699.589012909426
delayed_head_mix_a08_lam010_warm3,mix,head,0.8,0.9,0.01,4.0,75,0.1625520419714887,0.07491921460025565,0.0714929610700494,0.2933855090610616,75,0.3188766678174336,0.023423526158271958,0.2709999978542328,0.3619999885559082,75,1.9508942131169635,0.05403880723707044,1.8060318012237548,2.070965684890747,75,0.1537348858052412,0.07226603071295234,0.0661482234066991,0.2865617814119089,75,0.31760000149408973,0.02304103623396186,0.2709999978542328,0.3545833230018616,75,1.9468051673762004,0.059716699746975646,1.807530996322632,2.070965684890747,75,2.4506258770624796,1.1105804759581728,0.7415407657623291,4.639684414863586,75,4075.086307485539,1727.0895994497114,1886.7203701563556,12252.623614539583
baseline_adamw,none,none,,,0.0,,165,0.16248012770714002,0.07427203387362898,0.0762023793688506,0.3019691190225733,165,0.3213146471615993,0.02397007814351519,0.2669999897480011,0.3630000054836273,165,1.9463403978867964,0.05362184627900106,1.8038580770492556,2.0647332954406736,165,0.15330648599139243,0.07578727231370218,0.0539811293235519,0.3019691190225733,165,0.321558080478148,0.023948719990624683,0.2750000059604645,0.3625000119209289,165,1.9409898334618771,0.05531905644906159,1.8127472400665283,2.0647332954406736,165,3.238105807159886,2.6443703607853406,0.8557240724563598,14.994635248184204,165,3601.660168412509,1746.978553843164,267.5751739452696,9466.316127077533
delayed_emb_mix_a08_lam010_warm3,mix,embeddings,0.8,0.9,0.1,4.0,45,0.16227068186610885,0.07379816377040094,0.0781215793522931,0.2942273801924508,45,0.3201907396316528,0.02458277163773038,0.2745000123977661,0.3540000021457672,45,1.947202409892612,0.05214967674236844,1.8178818674087525,2.058988441467285,45,0.15349124253723037,0.07649453703018003,0.0585815066173347,0.2787682556931984,45,0.31959814561737904,0.024332180875701548,0.273499995470047,0.3574999868869781,45,1.938968946562873,0.05937901720873583,1.8096498317718503,2.0206198062896727,45,2.799595424864027,1.4941854609813385,0.8330638408660889,6.180482983589172,45,3777.5694150655104,1846.8204393668395,1582.8271044349533,9823.776642852836
emb_replace_a075,replace,embeddings,0.75,0.9,1.0,1.0,75,0.16222153866757943,0.07459962267614961,0.0784415798712862,0.2787006260621872,75,0.32230777819951373,0.02292936499408064,0.2720000147819519,0.3574999868869781,75,1.9406006842803956,0.05696443127486698,1.8076304998397827,2.0503900165557862,75,0.15552362297365913,0.07588188929963446,0.0656946107080993,0.2787006260621872,75,0.3220244447390238,0.024439867822353682,0.2725000083446502,0.3616666793823242,75,1.9377515873591105,0.056828396203726456,1.8076304998397827,2.045779224395752,75,2.348643621126811,1.0787906501074107,0.8750998973846436,4.698939108848572,75,4345.4438779445045,1651.858203575297,1888.826281293025,9520.37464252198
emb_mix_a08_lam010,mix,embeddings,0.8,0.9,0.01,1.0,75,0.16221248790813567,0.07224133399920904,0.081006041224795,0.28147151309918,75,0.3198755558331807,0.022649925798625587,0.2725000083446502,0.3620833456516266,75,1.9480105415725708,0.05163063200207393,1.7973435745239257,2.02159211730957,75,0.15254097487159196,0.0749880628030973,0.0548991516376539,0.2789447689132008,75,0.3182755557696025,0.023670747491265177,0.2784999907016754,0.3650000095367431,75,1.9439905109024047,0.05522754144818353,1.7935956048965451,2.0235685501098635,75,2.410487095514933,1.1313567704709668,0.7642314195632934,4.804343104362488,75,4142.251369835212,1776.844997584263,1885.374877329241,10690.63007050544
