scenario_name,mode,target,alpha,beta,mix_lambda,start_epoch,delta_best_val_macro_f1_vs_baseline_count,delta_best_val_macro_f1_vs_baseline_mean,delta_best_val_macro_f1_vs_baseline_std,delta_best_val_macro_f1_vs_baseline_min,delta_best_val_macro_f1_vs_baseline_max,delta_best_val_macro_f1_vs_baseline_sum,delta_best_val_accuracy_vs_baseline_count,delta_best_val_accuracy_vs_baseline_mean,delta_best_val_accuracy_vs_baseline_std,delta_best_val_accuracy_vs_baseline_min,delta_best_val_accuracy_vs_baseline_max,delta_best_val_accuracy_vs_baseline_sum,delta_final_val_macro_f1_vs_baseline_count,delta_final_val_macro_f1_vs_baseline_mean,delta_final_val_macro_f1_vs_baseline_std,delta_final_val_macro_f1_vs_baseline_min,delta_final_val_macro_f1_vs_baseline_max,delta_final_val_macro_f1_vs_baseline_sum,beats_baseline_best_macro_f1_count,beats_baseline_best_macro_f1_mean,beats_baseline_best_macro_f1_std,beats_baseline_best_macro_f1_min,beats_baseline_best_macro_f1_max,beats_baseline_best_macro_f1_sum
emb_replace_a08,replace,embeddings,0.8,0.9,1.0,1.0,45,-0.0011935929541536019,0.015284730948300681,-0.049891548789158996,0.03476636715820049,-0.053711682936912086,45,-0.0010685192214118036,0.01904041160285378,-0.04999998211860651,0.048000007867813055,-0.04808336496353116,45,0.0006825783587548854,0.019843448030591557,-0.05390038042726708,0.043217423980211486,0.030716026143969843,45,0.5555555555555556,0.502518907629606,False,True,25
delayed_emb_mix_a08_lam010_warm3,mix,embeddings,0.8,0.9,0.01,4.0,75,-0.0012180885499761562,0.015751171088566815,-0.0317251618516009,0.04203620020100049,-0.09135664124821172,75,-0.00183111190795898,0.016101274976983257,-0.039999991655349676,0.04600000381469732,-0.1373333930969235,75,-0.002414773255045852,0.017237957466714564,-0.03371178805782171,0.0446812042221878,-0.1811079941284389,75,0.48,0.5029641865709455,False,True,36
all_mix_a08_lam015,mix,all,0.8,0.9,0.015,1.0,75,-0.001335319132745287,0.015577888771065312,-0.035395655124582204,0.038327281003392166,-0.10014893495589652,75,-0.0031677814324696883,0.01570902645861332,-0.04700002074241638,0.026999980211257935,-0.2375836074352266,75,0.0014707391189629922,0.019069291008877817,-0.0477350148862246,0.044798778440055864,0.11030543392222442,75,0.4666666666666667,0.5022472023339226,False,True,35
all_mix_a08_lam025,mix,all,0.8,0.9,0.025,1.0,75,-0.001709695226752281,0.019018077034618684,-0.056478540548402595,0.04209104097204833,-0.12822714200642107,75,0.0022988875706990634,0.01865835446048556,-0.03899997472763056,0.04500001668930059,0.17241656780242975,75,0.000755965528912685,0.02125640090697224,-0.049859095006248313,0.05074457400533067,0.05669741466845137,75,0.52,0.5029641865709457,False,True,39
mixed_all_a08_lam025,mix,all,0.8,0.9,0.25,1.0,45,-0.0017965131582125195,0.013723945475120935,-0.04286979746254327,0.020827357397605203,-0.08084309211956338,45,-0.0035333328776889464,0.015066114731792955,-0.03200000524520874,0.03100001811981201,-0.15899997949600259,45,-0.001185846462123174,0.016170266605621857,-0.045925829287216974,0.0292065455422639,-0.053363090795542835,45,0.4888888888888889,0.5055250296034368,False,True,22
delayed_mixed_all_a08_lam025_warm3,mix,all,0.8,0.9,0.25,4.0,45,-0.0021059021803416424,0.015608407932754993,-0.03989057213204267,0.03609054470209749,-0.09476559811537391,45,-0.003757408592436051,0.018306252313160177,-0.04399999976158142,0.0370000004768371,-0.1690833866596223,45,-0.001822741769268609,0.017639765791199413,-0.0383769051670845,0.03592640683706591,-0.0820233796170874,45,0.4888888888888889,0.5055250296034368,False,True,22
emb_mix_a08_lam015,mix,embeddings,0.8,0.9,0.15,1.0,45,-0.0021377837535225515,0.012769602436215482,-0.028871159808335378,0.03888887914048189,-0.09620026890851481,45,0.0006481468677520764,0.016247764521667703,-0.03416666388511663,0.04800000786781311,0.02916660904884344,45,-0.003364905977375633,0.01965879670364751,-0.0516568033463634,0.05203918546286332,-0.1514207689819035,45,0.37777777777777777,0.4903101471559002,False,True,17
head_replace_a08,replace,head,0.8,0.9,1.0,1.0,45,-0.00215640972090653,0.014539902210855651,-0.0391706336754634,0.03198960965389658,-0.09703843744079385,45,0.0014259258906046586,0.012971377939182611,-0.027999997138977106,0.03099998831748968,0.06416666507720964,45,-0.0037513120045390043,0.019274421011760752,-0.042835105332663395,0.03337575127422701,-0.1688090402042552,45,0.4666666666666667,0.504524979109513,False,True,21
head_mix_a08_lam010,mix,head,0.8,0.9,0.1,1.0,45,-0.0022662744913180934,0.011994529127933322,-0.03342093799295076,0.01786438200039099,-0.1019823521093142,45,0.0006148146258460201,0.016071183376518725,-0.04300001263618469,0.06200000643730158,0.0276666581630709,45,-0.002332926919879007,0.01531413431269484,-0.035862184348220694,0.026392994477524703,-0.10498171139455531,45,0.4666666666666667,0.504524979109513,False,True,21
emb_mix_a08_lam025,mix,embeddings,0.8,0.9,0.25,1.0,45,-0.002490294910338194,0.018206571800487792,-0.06096202551759039,0.0406791792355187,-0.11206327096521873,45,-0.00012037290467155564,0.019813370417027014,-0.04800000786781311,0.07600000500679016,-0.005416780710220004,45,-0.0012386285727570404,0.02071225109426628,-0.06096202551759039,0.042716297049742405,-0.05573828577406682,45,0.4444444444444444,0.502518907629606,False,True,20
all_mix_a08_lam010,mix,all,0.8,0.9,0.1,1.0,45,-0.0025684640222833634,0.015043584899333474,-0.04851388061975076,0.02798750154989199,-0.11558088100275135,45,-0.0019129607412550135,0.018209522952328375,-0.04399999976158142,0.0559999942779541,-0.08608323335647561,45,-0.0029678264710794786,0.018729059149441202,-0.052653221596716676,0.044851614747722396,-0.13355219119857653,45,0.5111111111111111,0.5055250296034367,False,True,23
delayed_mixed_head_a08_lam025_warm3,mix,head,0.8,0.9,0.25,4.0,45,-0.0026404427226136284,0.01509535968308722,-0.04110966325312089,0.031825310973988705,-0.11881992251761328,45,-0.0019092592928144716,0.016862344031978397,-0.03100001811981201,0.04600000381469732,-0.08591666817665122,45,0.0011801953820261175,0.018780845402421722,-0.0401494782763195,0.046984135064144894,0.053108792191175286,45,0.5777777777777777,0.4994946941609586,False,True,26
delayed_all_mix_a08_lam025_warm3,mix,all,0.8,0.9,0.25,4.0,45,-0.002926034100009097,0.014418434618579924,-0.053716267374657595,0.02250199287672161,-0.13167153450040936,45,-0.002750002013312446,0.018028088892734453,-0.038000017404556274,0.034000009298324585,-0.12375009059906006,45,-0.002565168860142237,0.020719009829373213,-0.0581200697109954,0.054531096757318306,-0.11543259870640066,45,0.4666666666666667,0.504524979109513,False,True,21
mixed_all_a08_lam050,mix,all,0.8,0.9,0.5,1.0,45,-0.004236881099070576,0.018510309600885577,-0.0727127497234879,0.03028950372617671,-0.19065964945817593,45,-0.010012963083055295,0.0389305846213403,-0.23666664958000191,0.039999991655349676,-0.45058333873748824,45,-0.007076404146312414,0.022670150683574263,-0.0639036118235605,0.0454483278163329,-0.31843818658405865,45,0.4,0.4954336943068623,False,True,18
head_only_replace_a08,replace,head,0.8,0.9,1.0,1.0,45,-0.004511281353427968,0.014788280405582794,-0.04615313207173971,0.03667558789201392,-0.20300766090425856,45,-0.0020240737332238167,0.018696799202793168,-0.034999996423721313,0.05500000715255737,-0.09108331799507174,45,-0.0047737791237473445,0.02330703680671042,-0.059861431920508607,0.0543966663224115,-0.2148200605686305,45,0.35555555555555557,0.4840903163082632,False,True,16
attention_only_replace_a08,replace,attention,0.8,0.9,1.0,1.0,45,-0.008766400970833019,0.017761559874219946,-0.04748051592939481,0.02822932079344749,-0.39448804368748586,45,-0.012405559089448721,0.017124180621328734,-0.0625,0.025000005960464478,-0.5582501590251925,45,-0.017806426936168376,0.022297392669964004,-0.05560748286885109,0.024656326481029292,-0.801289212127577,45,0.3333333333333333,0.4767312946227961,False,True,15
ffn_only_replace_a08,replace,ffn,0.8,0.9,1.0,1.0,45,-0.016002071573509153,0.02132998097951257,-0.06433914842919042,0.036546183362426266,-0.7200932208079118,45,-0.007374073399437802,0.019468607391733464,-0.060000002384185847,0.037000000476837214,-0.3318333029747011,45,-0.015098079450497102,0.02286086489190188,-0.07902023399248348,0.04727301202765066,-0.6794135752723696,45,0.2,0.4045199174779452,False,True,9
delayed_all_replace_a08_warm3,replace,all,0.8,0.9,1.0,4.0,45,-0.027640923352337105,0.022011322307730518,-0.08465528352854923,0.017622196374958196,-1.2438415508551697,45,-0.010092591577106052,0.02065510306348154,-0.05700001120567322,0.02458333969116211,-0.45416662096977234,45,-0.06575142310391864,0.059100186051917296,-0.256143812965265,0.03215116266165749,-2.958814039676339,45,0.08888888888888889,0.28779903201415186,False,True,4
naive_all_replace_a08,replace,all,0.8,0.9,1.0,1.0,45,-0.05317484145320323,0.04469815363493979,-0.20049537525834976,0.004407795719256993,-2.3928678653941455,45,-0.03055555654896631,0.04289129396622302,-0.19149999320507058,0.02583333849906916,-1.375000044703484,45,-0.055896324281789006,0.05361101641409552,-0.24635047180486258,0.0032596829139930894,-2.5153345926805053,45,0.022222222222222223,0.14907119849998596,False,True,1
negative_full_replace_a08,replace,all,0.8,0.9,1.0,1.0,45,-0.06607262297633396,0.058056397391296866,-0.2145804432565755,0.0159022720686023,-2.9732680339350277,45,-0.033175925744904425,0.04354147718208692,-0.18000000715255743,0.02458333969116211,-1.492916658520699,45,-0.0733034201695078,0.06497958631147409,-0.2629997148358093,-0.013293077169500192,-3.298653907627851,45,0.022222222222222223,0.14907119849998596,False,True,1
